                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2958,                0.81815,                 1.2297,                0.74677,                0.70595,                0.71394,                0.34578,                 1.8232,                0.95841,                 1.6755,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.2584,                0.79702,                 1.2033,                0.78796,                0.67666,                0.70592,                 0.3355,                 1.7932,                 1.0295,                 1.6134,             0.00057778,             0.00057778,             0.00057778
                     36,                  1.207,                0.76078,                 1.1791,                0.69965,                0.71397,                0.72635,                0.34041,                 1.7389,                 1.0526,                 1.5654,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.1848,                0.74805,                 1.1653,                0.77959,                0.65234,                0.71582,                 0.3378,                 1.8048,                0.96637,                 1.6257,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.2448,                0.77998,                 1.1942,                0.74614,                0.70719,                0.71319,                 0.3519,                 1.8092,                 0.9296,                 1.6465,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.2052,                0.73537,                 1.1519,                0.72074,                0.73217,                0.71545,                 0.3581,                 1.7685,                0.89368,                 1.6113,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1481,                0.73065,                 1.1482,                0.74112,                0.71028,                 0.6981,                0.35796,                 1.7728,                0.87043,                  1.628,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.1621,                0.80645,                 1.1733,                0.74705,                0.67432,                0.66862,                0.34602,                  1.798,                0.89771,                  1.651,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.1403,                0.75413,                 1.1675,                0.70183,                0.70312,                0.71024,                0.35031,                 1.7967,                  1.005,                 1.6329,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.1266,                0.74017,                 1.1542,                0.70744,                0.71971,                0.72517,                0.35227,                 1.7639,                0.97198,                 1.5976,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.1389,                0.73544,                 1.1688,                0.82419,                0.65786,                0.75058,                0.35886,                 1.7401,                0.92341,                 1.5866,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.1002,                0.71117,                 1.1156,                0.80504,                 0.6935,                0.76904,                0.36526,                  1.723,                0.91114,                  1.587,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.1543,                0.76856,                 1.1404,                0.70999,                0.70325,                0.71898,                0.35155,                 1.7565,                 0.9214,                 1.6174,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.0978,                0.70685,                 1.1511,                  0.727,                0.68786,                0.70858,                0.35456,                 1.7594,                 0.9064,                 1.6024,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.0497,                0.68079,                 1.1302,                0.76644,                0.69707,                  0.709,                0.35628,                 1.7687,                0.88507,                 1.6083,              0.0001487,              0.0001487,              0.0001487
                     49,                  1.049,                  0.665,                 1.0995,                0.80708,                0.68171,                 0.7216,                0.35108,                  1.776,                 0.8675,                 1.6108,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.1282,                0.72817,                 1.1619,                 0.7693,                0.71877,                0.72158,                  0.355,                 1.7798,                0.85385,                 1.6177,             8.2683e-05,             8.2683e-05,             8.2683e-05
